Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1,10,13,22",82.5,100,92.1,59.67,68.42
2,"1,9,13,20",100,100,89.07,67.81,67.81
2,"9,13,15,19",100,100,92,68.4,68.4
2,"1,3,13,17,29",100,100,84.43,66.89,66.89
1,"13,16,22",,68.8,87.93,,51.99
1,"5,13",,100,100,,70
1,"13,15,16,17,22,23",,100,100,,70
1,"13,17,22",,100,100,,70
1,"13,22,29",,100,100,,70
1,"2,13,22,28",,100,100,,70
2,"1,9,13,19",100,100,85.6,67.12,67.12
2,"1,9,13,19,23",80,100,80.8,56.16,66.16
2,"1,9,13,23,29",81.25,,88.67,58.36,
2,"1,13,15,17,19,23",83.5,,90.17,59.78,
2,"13,20,22,37",81,,87.17,57.93,
4,"1,2,13,26",74.61,73.17,87.93,54.89,54.17
4,"13,22,26,32",19.85,31.05,87.93,27.51,33.11
5,"7,13,23",,100,87.93,,67.59
5,"13,27",,59.21,87.93,,47.19
5,"2,13",,77.25,87.93,,56.21
