0,1,{}
0,2,{}
0,3,{}
0,7,{}
0,8,{}
0,10,{}
0,12,{}
0,13,{}
0,20,{}
0,26,{}
0,35,{}
2,3,{}
2,4,{}
2,5,{}
2,8,{}
2,26,{}
2,27,{}
2,29,{}
2,33,{}
2,36,{}
3,4,{}
3,5,{}
3,6,{}
3,11,{}
3,12,{}
3,13,{}
3,16,{}
3,17,{}
3,21,{}
3,22,{}
3,24,{}
3,29,{}
3,33,{}
3,34,{}
5,6,{}
5,9,{}
6,7,{}
6,15,{}
6,16,{}
7,9,{}
7,10,{}
7,11,{}
7,14,{}
7,15,{}
7,17,{}
7,21,{}
7,23,{}
7,25,{}
7,30,{}
8,18,{}
8,19,{}
8,25,{}
8,36,{}
9,14,{}
10,18,{}
10,20,{}
10,22,{}
10,24,{}
10,28,{}
15,23,{}
15,27,{}
18,19,{}
19,31,{}
20,28,{}
21,32,{}
22,31,{}
22,32,{}
23,30,{}
28,34,{}
28,35,{}
